player,Elo_Rating,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win
UCLA,1526.536971226572,0.976212,0.932881,0.765016,0.549632,0.258307,0.123028
Y16,880.0969206445229,0.023788,0.014361,0.004819,0.001599,0.000336,9.2e-05
Richmond,919.2016005179654,0.563925,0.03107,0.011805,0.004252,0.000979,0.00028
Georgia Tech,875.3112158348436,0.436075,0.021688,0.007619,0.00264,0.000585,0.000141
Ole Miss,1117.5847097544352,0.893356,0.359721,0.069896,0.034335,0.010752,0.003735
Ball State,747.4809788226939,0.106644,0.018183,0.001589,0.000484,0.000112,3.2e-05
Baylor,1211.1904507067463,0.912638,0.59358,0.136365,0.073623,0.025093,0.009475
Grand Canyon,804.1888105388019,0.087362,0.028516,0.002891,0.000975,0.000207,4.9e-05
Florida State,924.831711673393,0.600046,0.091059,0.030718,0.00646,0.001551,0.000461
George Mason,854.921060719306,0.399954,0.052532,0.016115,0.003036,0.000699,0.000193
LSU,1317.8031583257875,0.976074,0.848645,0.493808,0.174869,0.063928,0.025252
San Diego State,673.9998963219588,0.023926,0.007764,0.001357,0.000163,2.4e-05,3e-06
Michigan State,923.492967464394,0.637973,0.110698,0.031781,0.006496,0.001563,0.000482
Harvard,825.5785321384328,0.362027,0.051581,0.01285,0.002268,0.00051,0.000152
NC State,1282.4159177915724,0.939844,0.806696,0.406565,0.138021,0.048751,0.018989
Vermont,805.3106644962468,0.060156,0.031025,0.006806,0.001147,0.000219,5.8e-05
USC,1493.1176527104883,0.976157,0.924069,0.73233,0.339061,0.198657,0.093992
UNCG,847.0101875706471,0.023843,0.013541,0.004116,0.000681,0.000181,3.5e-05
California,895.7360563708976,0.495516,0.030992,0.011349,0.002058,0.000675,0.000183
Mississippi State,899.0951173618968,0.504484,0.031398,0.011358,0.002064,0.00067,0.000211
Kansas State,1159.6029722414196,0.930961,0.455096,0.108762,0.032119,0.014432,0.005287
Fairfield,707.9803928526719,0.069039,0.011518,0.000982,0.000126,3.4e-05,6e-06
Kentucky,1184.0200528465807,0.925438,0.516867,0.129439,0.039511,0.018242,0.007059
Liberty,746.0474798945631,0.074562,0.016519,0.001664,0.000245,8.1e-05,2.3e-05
Iowa,1069.8757312439147,0.846803,0.287475,0.040588,0.013363,0.005366,0.001829
Murray State,773.5135269131449,0.153197,0.027409,0.00207,0.000471,0.000145,3.8e-05
Oklahoma,1219.5346690791544,0.898982,0.642486,0.120965,0.049584,0.022902,0.008778
Florida Gulf Coast,840.4154843264245,0.101018,0.04263,0.003821,0.000926,0.000314,9.3e-05
Oklahoma State,980.4540996876576,0.680744,0.035856,0.015809,0.004312,0.001456,0.000441
South Dakota State,848.8810223017349,0.319256,0.012294,0.004514,0.001087,0.000327,9.1e-05
UConn,1572.6178607688064,0.975925,0.936391,0.80598,0.512794,0.32243,0.162912
Arkansas State,930.5015889238341,0.024075,0.015459,0.006253,0.001598,0.000472,0.000126
South Carolina,1613.8203198243366,0.976232,0.945068,0.84848,0.603102,0.358142,0.207307
Tennessee Tech,968.8588769258051,0.023768,0.016354,0.007833,0.002288,0.000662,0.000218
Utah,935.3012992812329,0.531588,0.021012,0.009665,0.002651,0.000715,0.000235
Indiana,913.5342411334552,0.468412,0.017566,0.007873,0.002185,0.000608,0.000215
Alabama,1145.8237942057526,0.875769,0.484015,0.064314,0.02586,0.009446,0.003826
Green Bay,806.5183171053593,0.124231,0.037672,0.002601,0.000659,0.000173,5.4e-05
Maryland,1134.97523436504,0.919258,0.46242,0.058486,0.022772,0.008118,0.003314
Norfolk State,711.7888105347948,0.080742,0.015893,0.000748,0.000145,3.2e-05,1.1e-05
West Virginia,1187.718252856298,0.925786,0.415902,0.141486,0.040173,0.016468,0.007403
W11,748.978925224199,0.074214,0.011738,0.001635,0.000211,4.8e-05,1.4e-05
North Carolina,1241.7382966102098,0.957967,0.565285,0.207184,0.061956,0.026744,0.012515
Oregon State,699.9436638481436,0.042033,0.007075,0.000832,9.1e-05,2.6e-05,7e-06
Vanderbilt,955.8201076785272,0.657972,0.062779,0.020868,0.003784,0.001146,0.000419
Oregon,841.9147842408406,0.342028,0.02532,0.007035,0.001051,0.0003,9.9e-05
Duke,1434.5097888922378,0.976074,0.900691,0.618458,0.232754,0.115825,0.059041
Lehigh,789.998766151416,0.023926,0.01121,0.002502,0.000318,6.2e-05,1.7e-05
Texas,1538.12038873713,0.976205,0.930586,0.774026,0.467089,0.234142,0.128269
X16,893.3591575742297,0.023795,0.014212,0.005118,0.001165,0.000262,8.4e-05
Illinois,924.6131355887479,0.517875,0.028889,0.011597,0.002931,0.000723,0.000253
Creighton,912.6403137525559,0.482125,0.026313,0.01038,0.002679,0.000677,0.000227
Tennessee,1178.3854576928427,0.943049,0.510509,0.103609,0.03937,0.013838,0.006014
South Florida,690.6265901344717,0.056951,0.009935,0.000657,0.000119,1.7e-05,6e-06
Ohio State,1159.4352992520226,0.893124,0.453684,0.092066,0.034982,0.01211,0.005235
Montana State,789.8789902458499,0.106876,0.025872,0.002547,0.000571,0.000128,3.8e-05
Michigan,944.0358894531894,0.600144,0.058597,0.01554,0.003761,0.001048,0.000384
X11,874.0073782745827,0.399856,0.033752,0.007982,0.001691,0.000423,0.000157
Notre Dame,1428.3160206746802,0.97617,0.896925,0.528572,0.250669,0.114435,0.05915
SF Austin,783.4082375138678,0.02383,0.010726,0.001769,0.000304,5.9e-05,2e-05
Louisville,896.8412899937799,0.542439,0.054604,0.010424,0.00227,0.000541,0.000188
Nebraska,867.1305059251346,0.457561,0.043554,0.007966,0.00166,0.000419,0.000149
TCU,1387.1881153140448,0.97639,0.89159,0.426469,0.190562,0.082637,0.041599
FDU,742.4202882109244,0.02361,0.010252,0.001278,0.000177,2.6e-05,6e-06
